Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-05-17,157.693,168.088,156.285,162.152,982120.13997778
2021-05-18,164.776,166.816,157.927,160.53,991057.90932186
2021-05-19,159.588,160.811,156.75,159.646,613028.24875601
2021-05-20,159.791,166.496,159.772,165.728,721856.37286898
2021-05-21,165.728,166.534,161.91,163.366,698341.07393248
2021-05-24,162.415,162.415,158.733,158.85,490324.60572581
2021-05-25,159.791,163.988,153.069,155.712,679804.69821576
2021-05-26,155.809,158.81,152.602,152.602,415522.38319502
2021-05-27,156.372,165.728,156.285,165.728,1177962.5902146
2021-05-28,167.797,172.771,164.309,168.632,634075.18757652
2021-05-31,170.012,170.012,163.483,163.93,541422.13054555
2021-06-01,151.67,153.496,148.25,149.007,1886843.0883454
2021-06-02,149.611,157.169,148.444,156.975,1284090.7524492
2021-06-04,160.122,166.319,157.208,166.319,531518.83918779
2021-06-07,165.795,168.73,162.356,164.921,468013.63595348
2021-06-08,164.455,167.291,163.211,166.126,430295.48760897
2021-06-09,168.069,173.703,165.931,171.469,905653.47278162
2021-06-10,172.051,173.178,167.66,169.04,292554.19948516
2021-06-11,169.04,181.184,167.895,180.504,694500.60204226
2021-06-14,180.892,182.544,177.453,181.456,418389.09834224
2021-06-15,186.041,198.865,185.458,193.308,1619069.2480896
2021-06-16,201.1,205.616,180.698,180.834,1574405.1055572
2021-06-17,179.726,181.087,173.139,175.841,867940.47114295
2021-06-18,176.812,178.619,173.898,178.619,915417.80308198
2021-06-21,178.619,179.357,174.305,178.153,264349.22219652
2021-06-22,177.765,180.659,172.071,172.713,366909.68794992
2021-06-23,172.051,173.626,168.108,172.926,591984.39795898
2021-06-24,172.926,177.201,171.507,174.908,405868.19239943
2021-06-25,174.87,178.853,173.898,174.597,526214.64415956
2021-06-28,174.501,182.252,172.984,180.213,518893.9697872
2021-06-29,179.726,187.731,179.726,182.991,687402.26536175
2021-06-30,182.038,184.584,177.395,179.745,521123.52275269
2021-07-01,179.824,185.517,179.824,183.38,375840.25190585
2021-07-02,184.274,187.305,183.418,184.778,271940.61329552
2021-07-05,187.13,187.402,183.942,186.43,151240.06817429
2021-07-06,186.43,187.013,181.981,181.981,450589.97803716
2021-07-07,184.274,187.984,181.533,187.888,419479.17063699
2021-07-08,186.528,188.373,181.494,182.136,329165.80607627
